Methodology Code,Registry,Methodology Name,Project Type Category
AMS-I.E.,Verra,AMS-I.E.; AMS-III.D.,Bioenergy
AMS-I.D.,Verra,AMS-I.D.; AMS-I.F.,Mixed renewables
AMS-III.Z,Verra,AMS-III.Z,Industrial efficiency
VMR0009,Verra,VMR0009,Fossil gas leaks
AMS-I.C.,Verra,AMS-I.C.; AMS-III.D.; AMS-III.H.; AMS-III.AO.,Mixed renewables
AMS-III.Y,Verra,AMS-III.Y,Soil & Livestock
AMS-II.G.,Verra,AMS-II.G.,Efficient appliances
AMS-I.C.,Verra,AMS-I.C.; AMS-III.H.,Mixed renewables
ACM0012,Verra,ACM0012; AMS-III.Q,Waste to energy
AMS-I.F.,Verra,AMS-I.F.; AM0123,Bioenergy
VM0042,Verra,VM0042; VM0048,Soil & Livestock
AMS-I.E.,Verra,AMS-I.E.,Bioenergy
VM0009,Verra,VM0009,Soil & Livestock
ACM0003,Verra,ACM0003,Industrial efficiency
AMS-I.F.,Verra,AMS-I.F.; AMS-III.H.,Bioenergy
AM0123,Verra,AM0123,Bioenergy
AMS-I.C.,Verra,AMS-I.C.; AMS-III.AO.,Mixed renewables
AM0047,Verra,AM0047,Landfill gas
AM0065,Verra,AM0065,Industrial efficiency
AR-ACM0003,Verra,AR-ACM0003,Afforestation/Reforestation
Methodology Under Development,Verra,Methodology Under Development,Industrial efficiency
VM0007,Verra,VM0007; VM0015,Forest management
AM0090,Verra,AM0090,Hydropower
AMS-I.B.,Verra,AMS-I.B.,Solar
AR-AMS0007,Verra,AR-AMS0007,Afforestation/Reforestation
AMS-I.C.,Verra,AMS-I.C.; AMS-I.F.; AMS-III.H.,Mixed renewables
VM0041,Verra,VM0041; VM0042,Soil & Livestock
AMS-II.G.,Verra,AMS-II.G.; VMR0006,Efficient appliances
AMS-II.E.,Verra,AMS-II.E.,Efficient appliances
ACM0021,Verra,ACM0021,Grid efficiency
AMS-I.D.,Verra,AMS-I.D.; AMS-III.F.; AMS-III.Y,Mixed renewables
AMS-III.AJ.,Verra,AMS-III.AJ.,Waste management
AR-AM0003,Verra,AR-AM0003,Afforestation/Reforestation
AMS-II.S.,Verra,AMS-II.S.,Efficient appliances
AM0057,Verra,AM0057; Methodology Under Development,Bioenergy
AM0073,Verra,AM0073,Soil & Livestock
AMS-III.H.,Verra,AMS-III.H.; AMS-III.AQ,Landfill gas
AMS-III.S.,Verra,AMS-III.S.,Electric vehicles
AMS-I.D.,Verra,AMS-I.D.; AMS-III.E.,Mixed renewables
AMS-I.F.,Verra,AMS-I.F.; AMS-III.E.; VM0044,Bioenergy
Climate Action Reserve Landfill Project Protocol,Verra,Climate Action Reserve Landfill Project Protocol,Waste to energy
ACM0014,Verra,ACM0014,Industrial efficiency
AMS-III.L.,Verra,AMS-III.L.,Waste to energy
AMS-I.D.,Verra,AMS-I.D.; AMS-III.D.,Mixed renewables
VM0039,Verra,VM0039,Industrial efficiency
AM0110,Verra,AM0110,Industrial efficiency
AR-ACM0003,Verra,AR-ACM0003; VM0042,Afforestation/Reforestation
AM0009,Verra,AM0009,Waste to energy
AMS-III.D.,Verra,AMS-III.D.; AMS-III.AO.,Soil & Livestock
AM0072,Verra,AM0072,Hydropower
AMS-I.D.,Verra,AMS-I.D.; AMS-I.F.; AMS-III.H.,Mixed renewables
AMS-I.C.,Verra,AMS-I.C.; AMS-III.D.; AMS-III.H.,Mixed renewables
AMS-I.A.,Verra,AMS-I.A.,Solar
VM0026,Verra,VM0026; AR-ACM0003; VM0042,Rewilding
AMS-I.E.,Verra,AMS-I.E.; AMS-III.R.,Bioenergy
AMS-I.C.,Verra,AMS-I.C.; AMS-III.AO.; VM0042,Mixed renewables
VM0017,Verra,VM0017,Forest management
VM0015,Verra,VM0015; VM0017,Forest management
AM0073,Verra,AM0073; AMS-III.AQ,Soil & Livestock
ACM0001,Verra,ACM0001; ACM0022,Landfill gas
AMS-II.L.,Verra,AMS-II.L.,Efficient appliances
AMS-I.C.,Verra,AMS-I.C.; AMS-III.G.,Mixed renewables
VMR0006,Verra,VMR0006; VM0050,Mixed renewables
AMS-III.AU,Verra,AMS-III.AU,Rice cultivation
AMS-III.BA,Verra,AMS-III.BA,Biochar
AMS-III.J.,Verra,AMS-III.J.,Cleaner cooking
VMR0006,Verra,VMR0006; AMS-III.BG,Mixed renewables
VM0024,Verra,VM0024; VM0021,Soil & Livestock
VM0018,Verra,VM0018; ACM0022,Waste management
VM0006,Verra,VM0006,Afforestation/Reforestation
AMS-III.G.,Verra,AMS-III.G.,Landfill gas
VM0040,Verra,VM0040,Cleaner cooking
AMS-III.AU,Verra,AMS-III.AU; VM0042,Rice cultivation
AR-AM0014,Verra,AR-AM0014,Afforestation/Reforestation
VM0015,Verra,VM0015; VM0037,Forest management
VM0005,Verra,VM0005,Forest management
